itemId,title,conditionId,condition,price.value,price.currency,seller.username,seller.feedbackPercentage,seller.feedbackScore,itemLocation.country,topRatedBuyingExperience,priorityListing,marketingPrice.originalPrice.value,marketingPrice.discountPercentage,shipping_cost,days_listed,category_id,category_name,seller_item_count,club,country,year,additional_image_count,title_length,discount_flag,condition_desc,top_club,top_country,Messi
v1|297423526663|594890254523,Ecuador National Soccer Team Yellow Jersey World Cup Centenario 2026,1000,New,59.99,USD,bez061722,99.3,2817,US,False,True,,,0.0,32,2891,Soccer-National Teams,5,,,2026.0,6,68,False,1000 - New,False,False,False
v1|387826888324|655089789481,Arsenal Jersey 2005-2006 Champions League Long Sleeve Jersey - Thierry Henry #14,1000,New,73.93,USD,otri_shop,100.0,31,FR,False,True,,,0.0,186,2887,Soccer-International Clubs,4,Arsenal,,2006.0,3,80,False,1000 - New,True,False,False
v1|387658688391|654898722481,Ronaldo #7 Juventus Youth kids White and Black Jersey W-Shorts. Brand New W-tags,1000,New,79.99,USD,messi163,96.0,23,US,False,False,,,5.0,234,2887,Soccer-International Clubs,2,Juventus,,,6,80,False,1000 - New,True,False,False
v1|286605202712|588651751838,JERSEY  Hansa Rostock Soccer Special Edition Blue Men 2025,1000,New,28.98,USD,blak.gonz,98.3,1029,NZ,False,False,,,7.0,53,2887,Soccer-International Clubs,13,,,2025.0,1,58,False,1000 - New,False,False,False
v1|388666132828|0,Nike DR3966-806 Netherlands National Home Soccer Jersey Dri-Fit Orange Size L,1000,New,70.0,USD,armax8319,97.7,75,US,False,False,,,0.0,17,2891,Soccer-National Teams,1,,,,6,77,False,1000 - New,False,False,False
v1|317066941544|0,GERMANY 2006 2007 HOME FOOTBALL SHIRT SOCCER JERSEY ADIDAS ADIDAS 088339 SIZE L,3000,Used,40.0,USD,vtgjersey01,100.0,51,UA,False,False,,,15.0,128,2891,Soccer-National Teams,1,,Germany,2006.0,21,79,False,3000 - Used,False,True,False
v1|177130989117|0,Atletico Nacional Medellin 2025 Home Jersey- Atletico Nacional Camiseta Local 25,1000,New,42.0,USD,futbolerosusastore,100.0,13,US,False,False,,,0.0,54,2887,Soccer-International Clubs,1,,,2025.0,3,80,False,1000 - New,False,False,False
v1|177059178465|0,Men M Argentina AFA Adidas Pre-Match 3 Star Training Soccer Jersey Shirt IW5363,Unspecified,Unspecified,71.0,USD,bnrinternational,99.5,2221,US,False,False,,0.0,0.0,80,2891,Soccer-National Teams,1,,Argentina,,1,79,True,Unspecified - Unspecified,False,True,False
v1|277259188875|0,Adidas Mexico Gold Authentic Soccer Jersey - $150 ~ Men's Small JF2639,1000,New,102.95,USD,running_am0k,100.0,1650,US,False,False,,,5.1,20,2891,Soccer-National Teams,1,,Mexico,,7,70,False,1000 - New,False,True,False
v1|277234285460|0,Rafa Marquez #4 Mexico Jersey World Cup 2010 Size XLarge,Unspecified,Unspecified,69.95,USD,luisjs7,100.0,223,US,False,False,,,4.95,54,2891,Soccer-National Teams,6,,Mexico,2010.0,1,56,False,Unspecified - Unspecified,False,True,False
