position,title,asin,is_prime,rating,ratings_total,sponsored,coupon,lego_theme,age_rec,recent_sales_num,price_value,price_list_price,price_name,stock_info,has_coupon,top_theme,discount$,discount%
28,"WOOD CITY Building Baseplate Table for Lego, Building Tray Board with Storage and Classify, Activity Sensory Platform Table for Adults Children and Seniors with Lazy Susan",B0DRFD6GYQ,False,5.0,2.0,True,"{'badge_text': 'Save 20%', 'text': 'with coupon'}",City,None,,109.99,,,None,True,True,0.0,0.0
30,"LEGO Botanicals Mini Orchid Building Set - Artificial, Fake Orchid for Home Decor, Adults Ages 18+ - Gift for Graduation- Indoor Plant Decorations for Table, Desk, Office - 10343",B0DJ19VGDD,False,4.9,1500.0,False,,Botanicals,18.0,10000.0,23.98,29.99,Primary,None,False,True,6.01,0.2
31,"LEGO Technic Emirates Team New Zealand AC75 Model Kit - Building Set for Adults, Ages 18+ - Gift for Men & Women - 42174",B0CV2CZ4JS,False,4.8,147.0,False,,Technic,18.0,2000.0,79.98,119.99,Primary,None,False,True,40.01,0.33
32,"LEGO Botanicals Happy Plants Building Toys - Bedroom or Dorm Room Decor for Girls, Boys, & Adults, Desk or Shelf Display - Birthday Gift Ideas for Kids, Ages 9+ - 10349",B0DRW6C2RF,False,4.9,174.0,False,,Botanicals,9.0,20000.0,22.95,,,None,False,True,0.0,0.0
33,"LEGO Disney Stitch Toy Building Kit, Disney Toy for 9 Year Old Kids, Buildable Figure with Ice Cream Cone, Fun Disney Gift for Girls, Boys and Lovers of The Hit Movie Lilo and Stitch, 43249",B0CGY26D8G,False,4.9,2199.0,False,,Disney,None,7000.0,51.99,64.99,Primary,None,False,True,13.0,0.2
34,"LEGO Technic Koenigsegg Jesko Absolut Grey Hypercar, Sports Car Building Toy Set for Boys and Girls, Vehicle Racing Car for Kids, Buildable Model Kit, Sports Car Toy, Motor Enthusiasts’ Gift, 42173",B0CV2FLSXB,False,4.8,832.0,False,,Technic,None,5000.0,39.99,49.99,Primary,None,False,True,10.0,0.2
35,"LEGO Creator 3 in 1 Flatbed Truck with Helicopter Toy, Transforms from Flatbed Truck Toy to Propeller Plane to Hot Rod and SUV Car Toys, Gift Idea for Boys and Girls Ages 7 Years Old and Up, 31146",B0CGY4J7QT,False,4.8,3167.0,False,,Creator,7.0,10000.0,19.99,,,None,False,True,0.0,0.0
36,LEGO Main Street at Christmas 10308,B0BHJGQ9VB,False,4.7,128.0,False,,Other,None,,133.73,149.99,Primary,None,False,False,16.26,0.11
37,"LEGO Technic Planet Earth and Moon in Orbit Building Set, Outer Space Birthday Gift for 10 Year Olds, Solar System Space Toy for Imaginative, Independent Play, Space Room Décor for Boys & Girls, 42179",B0CGY3ZB29,False,4.8,1010.0,False,,Technic,None,3000.0,59.99,74.99,Primary,None,False,True,15.0,0.2
43,"LEGO Speed Champions Mercedes-AMG G 63 & Mercedes-AMG SL 63 F1 Toy Car, Formula 1 Vehicle Set for Kids, 2 Building Sets with 2 Driver Minifigures, Convertible Toy Car Gift for Boys and Girls, 76924",B0CV2HGNY9,False,4.8,902.0,False,,Speed Champions,None,5000.0,35.99,44.99,Primary,None,False,True,9.0,0.2
44,"LEGO Christmas Tree - Building Toys for Kids, Boys & Girls, Ages 12+ - Mini Christmas Tree Decorations for Tabletop & Home - Gifts for Boys & Girls - 40573",B0BH1NP1TL,False,4.8,1669.0,False,,Other,12.0,1000.0,29.99,44.99,Primary,None,False,False,15.0,0.33
45,"LEGO Botanicals Lucky Bamboo Building Set - Artificial Plant for Indoor Home Décor, Adults Ages 18+ - Fake Plant Decoration for Table, Desk, Office - Gift for Graduation - 10344",B0DJ18ZWYQ,False,4.9,1210.0,False,,Botanicals,18.0,10000.0,23.98,29.99,Primary,None,False,True,6.01,0.2
46,"LEGO Technic Porsche 911 RSR Race Car Model Building Kit 42096, Advanced Replica, Exclusive Collectible Set, Gift for Kids, Boys & Girls",B07GZ5FP5R,False,4.7,4943.0,False,,Technic,None,1000.0,169.13,179.99,Primary,None,False,True,10.86,0.06
47,LEGO Botanicals Chrysanthemum Building Set for Adults Ages 18+ - Artificial Flower for Dinner Table Centerpieces & Decoration - Gift for Graduation - 10368,B0CV2KSL3V,False,4.9,2202.0,False,,Botanicals,18.0,7000.0,23.98,29.99,Primary,None,False,True,6.01,0.2
48,"LEGO Star Wars: Revenge of The Sith ARC-170 Starfighter Spaceship Building Toy - Kids Star Wars Toy for Boys and Girls, Ages 9+ - Gift Idea for Birthdays - 75402",B0DJ1BH4NX,False,4.8,274.0,False,,Star Wars,9.0,5000.0,55.95,69.99,Primary,None,False,True,14.04,0.2
49,"LEGO Technic Lamborghini Huracán Tecnica Orange Toy Cars - Building Toys for Kids, Boys & Girls, Ages 9+ - Lamborghini Toy Car W/ V10 Engine & Steering - Gift Ideas for Birthdays - 42196",B0CPQ54PQ5,False,4.9,562.0,False,,Technic,9.0,10000.0,49.99,,,None,False,True,0.0,0.0
50,"LEGO Creator 3 in 1 Magical Unicorn Toy, Transforms from Unicorn to Seahorse to Peacock, Rainbow Animal Figures, Unicorn Gift for Grandchildren, Girls and Boys, Buildable Toys, 31140",B0BLJ4SVWV,False,4.8,5701.0,False,,Creator,None,10000.0,7.99,9.99,Primary,None,False,True,2.0,0.2
51,"LEGO Ideas The Insect Collection, Fun Gift for Nature Lovers, with Life-Size Blue Morpho Butterfly, Hercules Beetle and Chinese Mantis Display Models, Bug Building Set and Nature Décor, 21342",B0BXQ6MMZD,False,4.9,1674.0,False,,Ideas,None,2000.0,63.99,79.99,Primary,None,False,True,16.0,0.2
